*****************************************************************************************************
For file graph_gen3.txt 
Total Number of Pages : 1000
Total Number of Nodes in Cluster :4
Running time at 0 = 0.143185

*****************************************************************************************************
Page Ranks
-----------------------------------------------------------------------------------------------------
Page 1: 0.000987
Page 2: 0.001010
Page 3: 0.000933
Page 4: 0.001014
Page 5: 0.001043
Page 6: 0.000995
Page 7: 0.000952
Page 8: 0.000930
Page 9: 0.001026
Page 10: 0.000965
Page 11: 0.001027
Page 12: 0.000967
Page 13: 0.001053
Page 14: 0.000990
Page 15: 0.001014
Page 16: 0.001040
Page 17: 0.000946
Page 18: 0.000937
Page 19: 0.000995
Page 20: 0.000989
Page 21: 0.000995
Page 22: 0.000984
Page 23: 0.001015
Page 24: 0.000981
Page 25: 0.000997
Page 26: 0.001011
Page 27: 0.000987
Page 28: 0.001004
Page 29: 0.001010
Page 30: 0.000988
Page 31: 0.000984
Page 32: 0.001012
Page 33: 0.001028
Page 34: 0.000973
Page 35: 0.001003
Page 36: 0.000988
Page 37: 0.000977
Page 38: 0.000984
Page 39: 0.001013
Page 40: 0.000987
Page 41: 0.001021
Page 42: 0.000941
Page 43: 0.001005
Page 44: 0.001020
Page 45: 0.000988
Page 46: 0.001007
Page 47: 0.001016
Page 48: 0.000988
Page 49: 0.001005
Page 50: 0.000988
Page 51: 0.001004
Page 52: 0.001006
Page 53: 0.001004
Page 54: 0.000971
Page 55: 0.000976
Page 56: 0.001022
Page 57: 0.000996
Page 58: 0.001003
Page 59: 0.000993
Page 60: 0.001028
Page 61: 0.000995
Page 62: 0.001021
Page 63: 0.001046
Page 64: 0.001033
Page 65: 0.000974
Page 66: 0.000962
Page 67: 0.000977
Page 68: 0.001017
Page 69: 0.001007
Page 70: 0.001002
Page 71: 0.001015
Page 72: 0.001006
Page 73: 0.001017
Page 74: 0.000991
Page 75: 0.000986
Page 76: 0.000983
Page 77: 0.000992
Page 78: 0.001045
Page 79: 0.001020
Page 80: 0.000999
Page 81: 0.001020
Page 82: 0.000999
Page 83: 0.000983
Page 84: 0.000940
Page 85: 0.001031
Page 86: 0.001022
Page 87: 0.000963
Page 88: 0.000935
Page 89: 0.000965
Page 90: 0.000989
Page 91: 0.000973
Page 92: 0.000980
Page 93: 0.000963
Page 94: 0.000992
Page 95: 0.000986
Page 96: 0.000997
Page 97: 0.001029
Page 98: 0.001064
Page 99: 0.000997
Page 100: 0.000989
Page 101: 0.000960
Page 102: 0.001027
Page 103: 0.000978
Page 104: 0.001033
Page 105: 0.001038
Page 106: 0.000992
Page 107: 0.001029
Page 108: 0.000994
Page 109: 0.001008
Page 110: 0.000988
Page 111: 0.000959
Page 112: 0.001007
Page 113: 0.000960
Page 114: 0.000988
Page 115: 0.000985
Page 116: 0.001008
Page 117: 0.001010
Page 118: 0.001014
Page 119: 0.001012
Page 120: 0.001010
Page 121: 0.001011
Page 122: 0.000976
Page 123: 0.001016
Page 124: 0.000981
Page 125: 0.000984
Page 126: 0.000969
Page 127: 0.001054
Page 128: 0.000996
Page 129: 0.000993
Page 130: 0.001005
Page 131: 0.001012
Page 132: 0.000999
Page 133: 0.000938
Page 134: 0.001020
Page 135: 0.000894
Page 136: 0.001002
Page 137: 0.000956
Page 138: 0.001014
Page 139: 0.000991
Page 140: 0.001029
Page 141: 0.000981
Page 142: 0.001026
Page 143: 0.001003
Page 144: 0.000961
Page 145: 0.000963
Page 146: 0.001032
Page 147: 0.001002
Page 148: 0.001024
Page 149: 0.000973
Page 150: 0.001036
Page 151: 0.000948
Page 152: 0.001025
Page 153: 0.000989
Page 154: 0.001003
Page 155: 0.001000
Page 156: 0.001002
Page 157: 0.001039
Page 158: 0.000983
Page 159: 0.001016
Page 160: 0.001032
Page 161: 0.000984
Page 162: 0.000995
Page 163: 0.000995
Page 164: 0.001003
Page 165: 0.000988
Page 166: 0.000954
Page 167: 0.000989
Page 168: 0.001012
Page 169: 0.000961
Page 170: 0.000965
Page 171: 0.000987
Page 172: 0.000998
Page 173: 0.001029
Page 174: 0.000992
Page 175: 0.001036
Page 176: 0.001001
Page 177: 0.001017
Page 178: 0.000999
Page 179: 0.001037
Page 180: 0.000963
Page 181: 0.001074
Page 182: 0.001009
Page 183: 0.001006
Page 184: 0.001015
Page 185: 0.000921
Page 186: 0.000999
Page 187: 0.001015
Page 188: 0.001049
Page 189: 0.000993
Page 190: 0.001022
Page 191: 0.001023
Page 192: 0.001017
Page 193: 0.001015
Page 194: 0.000978
Page 195: 0.001017
Page 196: 0.001057
Page 197: 0.000968
Page 198: 0.000979
Page 199: 0.001006
Page 200: 0.000984
Page 201: 0.000997
Page 202: 0.001028
Page 203: 0.001006
Page 204: 0.000975
Page 205: 0.001094
Page 206: 0.001000
Page 207: 0.000991
Page 208: 0.000986
Page 209: 0.000993
Page 210: 0.001022
Page 211: 0.000988
Page 212: 0.001000
Page 213: 0.001033
Page 214: 0.001010
Page 215: 0.000998
Page 216: 0.000985
Page 217: 0.000952
Page 218: 0.000997
Page 219: 0.001023
Page 220: 0.001026
Page 221: 0.000987
Page 222: 0.000997
Page 223: 0.000969
Page 224: 0.001016
Page 225: 0.000992
Page 226: 0.000980
Page 227: 0.001045
Page 228: 0.001024
Page 229: 0.000991
Page 230: 0.000996
Page 231: 0.000989
Page 232: 0.001049
Page 233: 0.000965
Page 234: 0.000968
Page 235: 0.001043
Page 236: 0.000944
Page 237: 0.001000
Page 238: 0.001013
Page 239: 0.001028
Page 240: 0.001022
Page 241: 0.001032
Page 242: 0.000991
Page 243: 0.000970
Page 244: 0.000928
Page 245: 0.001002
Page 246: 0.000988
Page 247: 0.001022
Page 248: 0.000995
Page 249: 0.000956
Page 250: 0.001035
Page 251: 0.001001
Page 252: 0.001001
Page 253: 0.001001
Page 254: 0.001001
Page 255: 0.001001
Page 256: 0.001001
Page 257: 0.001001
Page 258: 0.001001
Page 259: 0.001001
Page 260: 0.001001
Page 261: 0.001001
Page 262: 0.001001
Page 263: 0.001001
Page 264: 0.001001
Page 265: 0.001001
Page 266: 0.001001
Page 267: 0.001001
Page 268: 0.001001
Page 269: 0.001001
Page 270: 0.001001
Page 271: 0.001001
Page 272: 0.001001
Page 273: 0.001001
Page 274: 0.001001
Page 275: 0.001001
Page 276: 0.001001
Page 277: 0.001001
Page 278: 0.001001
Page 279: 0.001001
Page 280: 0.001001
Page 281: 0.001001
Page 282: 0.001001
Page 283: 0.001001
Page 284: 0.001001
Page 285: 0.001001
Page 286: 0.001001
Page 287: 0.001001
Page 288: 0.001001
Page 289: 0.001001
Page 290: 0.001001
Page 291: 0.001001
Page 292: 0.001001
Page 293: 0.001001
Page 294: 0.001001
Page 295: 0.001001
Page 296: 0.001001
Page 297: 0.001001
Page 298: 0.001001
Page 299: 0.001001
Page 300: 0.001001
Page 301: 0.001001
Page 302: 0.001001
Page 303: 0.001001
Page 304: 0.001001
Page 305: 0.001001
Page 306: 0.001001
Page 307: 0.001001
Page 308: 0.001001
Page 309: 0.001001
Page 310: 0.001001
Page 311: 0.001001
Page 312: 0.001001
Page 313: 0.001001
Page 314: 0.001001
Page 315: 0.001001
Page 316: 0.001001
Page 317: 0.001001
Page 318: 0.001001
Page 319: 0.001001
Page 320: 0.001001
Page 321: 0.001001
Page 322: 0.001001
Page 323: 0.001001
Page 324: 0.001001
Page 325: 0.001001
Page 326: 0.001001
Page 327: 0.001001
Page 328: 0.001001
Page 329: 0.001001
Page 330: 0.001001
Page 331: 0.001001
Page 332: 0.001001
Page 333: 0.001001
Page 334: 0.001001
Page 335: 0.001001
Page 336: 0.001001
Page 337: 0.001001
Page 338: 0.001001
Page 339: 0.001001
Page 340: 0.001001
Page 341: 0.001001
Page 342: 0.001001
Page 343: 0.001001
Page 344: 0.001001
Page 345: 0.001001
Page 346: 0.001001
Page 347: 0.001001
Page 348: 0.001001
Page 349: 0.001001
Page 350: 0.001001
Page 351: 0.001001
Page 352: 0.001001
Page 353: 0.001001
Page 354: 0.001001
Page 355: 0.001001
Page 356: 0.001001
Page 357: 0.001001
Page 358: 0.001001
Page 359: 0.001001
Page 360: 0.001001
Page 361: 0.001001
Page 362: 0.001001
Page 363: 0.001001
Page 364: 0.001001
Page 365: 0.001001
Page 366: 0.001001
Page 367: 0.001001
Page 368: 0.001001
Page 369: 0.001001
Page 370: 0.001001
Page 371: 0.001001
Page 372: 0.001001
Page 373: 0.001001
Page 374: 0.001001
Page 375: 0.001001
Page 376: 0.001001
Page 377: 0.001001
Page 378: 0.001001
Page 379: 0.001001
Page 380: 0.001001
Page 381: 0.001001
Page 382: 0.001001
Page 383: 0.001001
Page 384: 0.001001
Page 385: 0.001001
Page 386: 0.001001
Page 387: 0.001001
Page 388: 0.001001
Page 389: 0.001001
Page 390: 0.001001
Page 391: 0.001001
Page 392: 0.001001
Page 393: 0.001001
Page 394: 0.001001
Page 395: 0.001001
Page 396: 0.001001
Page 397: 0.001001
Page 398: 0.001001
Page 399: 0.001001
Page 400: 0.001001
Page 401: 0.001001
Page 402: 0.001001
Page 403: 0.001001
Page 404: 0.001001
Page 405: 0.001001
Page 406: 0.001001
Page 407: 0.001001
Page 408: 0.001001
Page 409: 0.001001
Page 410: 0.001001
Page 411: 0.001001
Page 412: 0.001001
Page 413: 0.001001
Page 414: 0.001001
Page 415: 0.001001
Page 416: 0.001001
Page 417: 0.001001
Page 418: 0.001001
Page 419: 0.001001
Page 420: 0.001001
Page 421: 0.001001
Page 422: 0.001001
Page 423: 0.001001
Page 424: 0.001001
